label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
real,-343.7282,120.601814,-17.277346,16.46853,-14.374043,-25.417582,-14.055545,-11.994915,-30.970743,6.5148654,-13.313795,-17.580666,-9.058535,2.420033,-8.596415,-10.878012,-6.8107057,-10.292949,-4.9324603,-14.570145,-3.2413485,-9.477648,-13.144707,-8.82219,-8.484734,-6.3042197,-7.960228,-4.699615,-6.4769073,-4.0756965,-5.046346,-3.1695652,1.8331132,3.387252,-1.7744801,4.2274194,2.4878755,6.599351,5.3364544,5.5273123,0.06612812,-0.75979185,-1.7145594,0.4036085,0.36083987,-1.882342,-1.8773003,-1.3354694,0.5608348,-0.20909818
real,-300.66415,62.425034,19.465696,20.719395,-7.0789037,-27.069407,-15.655809,-12.317213,-6.977089,-6.368504,-29.33478,-6.600269,-12.941202,3.5462112,-11.166105,-14.451932,-0.5112967,-8.812743,-6.130332,-5.530315,-6.379871,-5.075208,-2.1104672,-3.1015527,-4.6069126,-6.743139,-2.953834,0.16083902,3.036365,7.349095,-3.823804,-0.4988348,-9.119259,1.0001558,-1.2501183,1.1261464,-0.9858666,-1.9782845,-3.1954904,0.7702262,-2.3936896,4.051318,0.50717807,0.3167368,-0.86396164,0.48208162,0.758188,-0.94121295,-2.9824626,1.7171085
real,-323.42096,77.898445,3.4879968,25.44111,-22.761467,-31.766266,-23.22162,-10.963459,-11.460957,-17.59174,-24.38218,7.325286,-7.558072,-1.7362182,-7.1284018,-12.960198,-6.3990207,-4.425468,-5.4591947,-9.155621,-5.874438,-0.8664292,-6.3777914,0.78865314,2.988032,-3.9355447,-2.1012204,-1.9776534,-1.7065943,-0.8065008,-5.446493,-3.7439325,-4.1377645,-1.8698547,-0.9098084,-4.056315,-1.1388881,-1.9144943,-2.173832,0.78294975,0.35488525,2.544787,0.10920388,1.6503332,-2.092311,-1.0225704,-2.0533974,0.17408045,-0.11908991,1.1154672
real,-304.28607,118.90854,-5.9065046,-4.8276815,-14.297681,-20.90717,-23.155724,-29.418259,-18.765142,-7.7286015,-17.709965,-4.8461113,-13.493437,1.7203649,-10.095655,-12.622268,-8.469084,-10.235163,-2.8353484,-12.517052,-9.599873,-3.705916,-8.798101,-7.5272818,6.760164,-0.80147785,1.6029711,0.34168068,-7.0084095,-4.4859366,-2.0245662,-0.32953244,0.107132435,4.0365925,1.0049635,4.298839,0.091069266,2.4533515,-2.6242213,-1.183084,-0.41599405,1.8264568,0.2233293,-0.38167822,-0.18680336,2.7821794,-1.8379816,-0.709885,0.10471314,2.0115032
real,-302.22452,65.374374,7.9370723,33.31574,-25.35571,-31.66807,-16.655499,0.5941926,-23.039186,-15.979725,-16.667406,0.67288655,-15.7708,2.146163,-9.782037,-9.27444,-3.5050333,0.23820661,-13.955443,-3.239272,-12.48387,-5.3258443,-10.043566,-7.4401817,-9.292379,2.649152,0.058411118,-0.30656382,-0.96129465,2.6089332,1.6313754,1.246375,4.0004826,3.6490355,-3.194854,-4.8921647,0.19979979,0.066698626,-1.4216971,1.0903653,-2.4471622,-0.7779732,-0.19487858,0.052975655,-0.17732607,-1.3824735,-2.4849522,-1.6835035,-0.5028654,-2.1040733
fake,-312.23788,72.744026,1.1745769,20.488163,-13.688882,-25.742914,-20.219112,-10.964073,-13.163175,-9.204313,-19.584166,1.8567286,-17.446674,2.6882536,-3.912955,-11.7829275,-5.9000964,-3.5329816,-5.874047,-4.6578155,-1.1318375,-5.1571193,-5.0598063,-4.908819,-2.02946,-4.18071,0.3700769,-2.331293,-3.609128,1.4487317,-3.9497337,0.42834482,-1.483625,5.5548944,2.9439151,5.382278,1.6513883,3.6248322,0.62738097,2.6719651,-0.25558132,2.5908933,-0.7915435,1.4062325,-1.3131793,0.145159,-1.0074949,0.66741747,-1.0097439,-1.7934802
fake,-302.4026,64.28755,10.938214,14.080684,-17.99919,-24.77915,-22.952822,-13.288802,-14.876714,-7.970912,-16.07667,-0.18745923,-12.05525,0.37541866,-3.5337996,-10.059733,-7.4578614,-3.1978095,-7.5385566,-6.2669134,-2.859756,-4.4981527,-2.9896433,-3.8604167,-0.010242985,-2.2109103,-0.35183463,-1.6263901,-2.1163638,3.2213123,-0.2983794,3.3127985,-0.106238864,3.1363497,-0.95581245,0.61659175,-1.0705959,2.6172674,-1.5279759,0.59804106,-2.1536956,1.2626146,0.1675337,1.9420687,0.00086639955,0.67448413,-0.009972072,1.6324904,0.080126934,0.24417217
fake,-282.9023,76.10775,-2.8138294,6.9647956,-19.549446,-24.113482,-25.060286,-12.031346,-15.463045,-8.394239,-18.860441,3.8180735,-15.711188,2.625778,-2.958014,-11.852554,-6.649327,-6.710071,-5.5653973,-5.091484,-3.945568,-2.2878327,-3.4938943,-1.7782538,3.1103146,-2.5379884,1.7580053,-0.5826992,-1.2482972,3.5131032,0.14811094,2.3540761,0.081647426,3.7789721,-0.66783106,1.8764232,-1.6832452,3.744964,-0.5706683,2.7416291,-1.1379869,0.7453763,-0.8720894,1.4955344,-0.3942927,0.24452353,-0.33714634,1.0136907,-1.1985934,-1.9037539
fake,-305.91638,100.41065,-0.8181824,5.581625,-17.66982,-25.958448,-20.143177,-17.273952,-14.396879,-8.204691,-20.647299,-0.9036782,-12.761899,0.72881866,-5.0088444,-11.480108,-8.134682,-3.3045573,-5.4248676,-6.186151,-0.056066032,-2.4220772,-0.8537993,-3.042929,1.2151957,-2.9923527,2.7745574,-1.1300534,-2.9302907,2.872734,-3.2290652,-0.15912274,-2.9537635,0.9039777,-2.3526475,-0.30310416,-2.9220011,0.7955103,-2.0464249,0.87846667,-0.53044426,2.8094819,2.2473798,3.4990158,0.9936129,1.2845387,0.5285207,1.602348,0.6090245,-0.40897378
fake,-273.36096,80.10493,-2.6204987,3.3240933,-20.307865,-25.25545,-24.786161,-16.370201,-13.147891,-3.8797572,-19.401937,0.75216466,-16.171974,1.3100333,-3.9402232,-13.644682,-5.0166516,-3.4298592,-3.0514665,-3.1794271,-1.7897143,-2.4444754,-5.437041,-1.0411737,-2.2097502,-4.3755627,2.6695762,-2.0474203,-1.5179099,-0.765816,-3.0964725,-0.13378793,-1.2008582,4.466156,-0.10255333,3.0249376,0.22042368,3.753993,-0.9750173,2.0486774,-1.4653534,3.8968897,0.62785697,2.9886863,-0.602212,-0.36631975,-1.0696882,0.09065222,0.25698256,-0.26662925
