label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
real,-317.962,65.69296,0.8216914,17.735956,-11.2067,-22.846502,-21.258482,-19.332375,-17.87214,-2.7260866,-27.769262,-1.8598541,-4.972536,-2.4381676,-11.756363,-13.240453,-5.735396,-13.442016,-2.4452066,-6.4554796,-3.1173651,-12.487883,-8.032844,-5.534129,-6.9631267
real,-260.43338,101.53542,-41.664314,-6.0183315,-26.039772,-23.073729,-11.158437,-22.583345,-13.932534,-7.5155115,-15.975485,-6.7797947,-18.864723,11.158725,-21.935627,-6.9814873,-8.767294,-10.373465,-0.4366349,-15.046284,-3.446284,-4.290056,-11.284349,-2.6732316,-8.656003
real,-309.8156,89.15401,5.823233,47.214706,-11.467693,-37.41656,-15.495846,-17.168682,-18.785181,-6.0393033,-18.946777,-5.1984725,-14.551103,-3.8951252,-12.398002,-4.553911,-8.046321,-7.426084,-3.721461,-8.100847,-7.3330493,-5.7417035,-6.7276883,-4.755299,-8.886351
fake,-286.79605,90.711494,1.7030427,10.185963,-31.600437,-27.81585,-16.2639,-17.212921,-14.350288,-5.8768578,-19.890228,1.1000661,-15.236505,0.61806726,-5.8833094,-6.7440367,-7.23412,-5.178736,-4.4595203,-5.626663,-2.1631877,-3.9161909,-2.5286365,-3.360642,-0.6093409
fake,-305.4003,78.13102,-1.1205461,9.38206,-19.829967,-20.417192,-21.759556,-14.311449,-13.822636,-6.0000763,-20.842518,-2.7177248,-13.416068,-0.35100698,-6.0522075,-10.3121195,-8.646335,-4.540656,-4.6070576,-2.671518,0.4494218,-2.2551727,-2.0885005,-2.9718223,-1.6597092
fake,-305.94547,86.51344,-2.7535744,2.871129,-25.323505,-30.621216,-15.224433,-13.31985,-14.300068,-6.2774673,-19.170555,1.044437,-14.085451,0.2268591,-4.326168,-10.553849,-8.270776,-5.159033,-5.8908134,-4.2240925,0.3785594,-0.45261404,0.6385345,1.7252245,1.7807634
fake,-279.4836,66.280815,-1.0313673,7.0626817,-13.76927,-22.734554,-27.213106,-6.752969,-3.6083593,-1.5443696,-21.162716,-2.2434177,-12.463267,1.7466793,-8.771937,-12.556679,-6.87229,-4.161899,-7.2534757,-5.0522723,-0.60291797,-6.973998,-9.09251,-5.7930813,-2.958774
fake,-270.43555,71.29508,0.98228437,7.4329467,-22.499758,-28.134222,-19.94021,-16.902357,-14.198806,0.42995116,-26.786606,0.17688219,-15.159479,1.0747052,-4.56797,-10.64465,-11.860015,-3.839426,-7.935999,-6.421558,1.5599916,-2.8443246,5.1070924,0.99082744,4.320986
fake,-292.68076,83.71272,2.1710856,17.715918,-16.035666,-26.142626,-24.560871,-10.637754,-16.366158,-9.854704,-19.5116,2.8493867,-18.081333,2.631699,-3.268331,-12.606546,-5.11225,-3.493227,-5.6554685,-6.6255693,-3.1945572,-7.610446,-8.263687,-2.4512117,-3.8614533
fake,-274.49475,82.41497,-5.814219,10.417028,-18.770998,-29.752768,-23.856287,-12.322878,-13.74434,-7.5714583,-22.244967,0.64188457,-15.865786,-0.15893304,-3.3312035,-12.604359,-6.2998686,-4.377757,-4.7009845,-4.329851,-2.3110702,-2.737355,-5.597571,-4.557705,-5.089869
fake,-281.22107,82.22741,-6.1386185,6.705706,-21.315102,-27.436699,-24.564354,-12.705692,-14.113936,-5.971437,-20.539284,1.0375355,-18.365032,1.3024887,-3.406077,-11.53287,-8.287206,-6.8576593,-3.9114943,-5.7962146,-2.3886037,-3.2051861,-2.47241,-1.1697761,2.080757
fake,-288.53018,89.09789,6.173037,4.1255608,-21.679285,-31.66573,-18.53664,-5.5838766,-20.945513,-8.716862,-17.104939,1.6791824,-18.548721,2.9561327,-7.6024723,-9.606402,-4.970383,-7.951267,-2.1124392,-7.453905,0.5985633,-4.873721,-2.5770142,2.025701,-1.043204
